Map_KO_Number,two_Mean,two_Sd,less_Mean,less_Sd,greater_Mean,greater_Sd
1,0.296680659600655,1.47626287652198,0.562136782022778,1.19771443557986,-0.526485321768574,1.18244527523787
2,0.372626855678602,1.53340876924577,0.818106799299985,1.19995207257328,-0.805200278018451,1.21988372466037
3,0.565668352712567,1.35038326111163,0.968618497191755,1.22433120681512,-0.958687412024374,1.18070253407411
4,0.586715507753401,1.46043045470476,1.07939354265853,1.17530735824441,-1.1885594790705,1.18893090755543
5,0.70144129653839,1.3537894746851,1.18176358726987,1.22404920829684,-1.21175076609311,1.20081389878589
6,0.707404648487832,1.4538774901268,1.35091213023754,1.19726303739306,-1.3781742492212,1.16660365986493
7,0.66233720875563,1.5324149122669,1.48013600865096,1.22194034149725,-1.49394703210592,1.20769115470566
8,0.797320907869057,1.43771539936364,1.56292308192539,1.22925483112765,-1.62228105135741,1.20688375973509
9,0.886423070453363,1.40257944340059,1.70824865561988,1.23030255425082,-1.73391606000974,1.22301304266881
10,0.921132273308603,1.48590989448536,1.71993051081163,1.21688018069306,-1.80474726833971,1.2252760583504
11,1.00250105863048,1.42615119515968,1.83325662446136,1.20148777596883,-1.93613433963288,1.16380150020764
12,0.986460235859947,1.44005416545299,1.94388364010741,1.20598553814814,-1.99860517571493,1.24070241197475
13,1.17448443632028,1.32158653689488,2.02430882615649,1.16214472441843,-2.0745201960783,1.24733227355066
14,1.04251879993778,1.43927089017103,2.14197592716785,1.21224750182073,-2.19357515625654,1.20185041586093
15,1.13950397945237,1.49049124665757,2.12738914802674,1.22426029150756,-2.22862503086418,1.21623109160059
16,1.14810874936248,1.44954435794101,2.15461907972728,1.22118909030376,-2.27105597395218,1.18951718587046
17,1.15449232132053,1.4665753791394,2.29266757513447,1.16218156015589,-2.33149252900121,1.205427410047
19,1.22619764535097,1.46023388355723,2.52743423844212,1.16250781207193,-2.46590483614745,1.23550982844102
21,1.28866013601566,1.45660755367072,2.53470014342269,1.18148513989256,-2.66275949518287,1.16739271248305
22,1.31239640216733,1.46138985480079,2.59555507641933,1.24322311072865,-2.68857931645833,1.17051348819618
23,1.38072341134295,1.40233276998309,2.64432593213736,1.18340646029784,-2.76323168856555,1.17842744253472
27,1.50464056483589,1.43492503647516,2.90314997737583,1.19532974325314,-2.90469370203795,1.2187065358209
28,1.51075388161079,1.49351627608293,2.9415684715205,1.18929830653321,-2.99976165618384,1.16920185509091
29,1.53158640304789,1.50349695485432,2.93993982845873,1.19196443325226,-3.12465017285659,1.15111592719017
32,1.54123574493648,1.46275348337851,3.15263976514456,1.23060911434851,-3.17082885644958,1.20066925823589
34,1.64072032457962,1.46845013305778,3.26184790040161,1.20442439131789,-3.28349022934045,1.1426393533392
55,2.10571356108915,1.40529440165657,4.1328572484363,1.13856138242132,-4.28043677220253,1.19921841428308
